"","playerName","restrictedDuo"
"170","Ismail Hussein [US]","Miraidon Terapagos"
"171","Zhe Zhang [CN]","Calyrex [Shadow Rider] Koraidon"
"172","Gabriel Llansó [ES]","Calyrex [Shadow Rider] Zamazenta"
"173","César Reyes [MX]","Calyrex [Shadow Rider] Miraidon"
"174","Justin Burns [US]","Calyrex [Ice Rider] Miraidon"
"175","Vince De Vera [CA]","Miraidon Zamazenta"
"176","Wesley Brainard [US]","Kyogre Zacian"
"177","Jeffrey Lehmann [US]","Calyrex [Shadow Rider] Zamazenta"
"178","Nathaniel Christmas [US]","Calyrex [Shadow Rider] Kyogre"
"179","Tianshu Ren [US]","Calyrex [Ice Rider] Kyogre"
"180","Michael Navas [AU]","Lunala Miraidon"
"181","Ibrahim Maarouf [DE]","Calyrex [Ice Rider] Miraidon"
"182","David Mancuso [US]","Calyrex [Shadow Rider] Kyogre"
"183","Noah Neel [US]","Kyogre Zacian"
"184","James Ramsey [US]","Miraidon Terapagos"
"185","Jerry Woods III [US]","Calyrex [Ice Rider] Miraidon"
"186","Visishtah Vasudevan [US]","Calyrex [Shadow Rider] Koraidon"
"187","Navjit Joshi [CA]","Calyrex [Shadow Rider] Zamazenta"
"188","Joseph Kwan [US]","Calyrex [Ice Rider] Miraidon"
"189","Diego Aguirre [CA]","Calyrex [Shadow Rider] Zamazenta"
"190","Xavier Tindall [US]","Calyrex [Ice Rider] Miraidon"
"191","Arbin Tumaneng [US]","Calyrex [Ice Rider] Miraidon"
"192","Samuel Temple [US]","Calyrex [Ice Rider] Miraidon"
"193","Christian Maccise Bueno [MX]","Calyrex [Ice Rider] Miraidon"
"194","Chengfu Ren [CN]","Calyrex [Ice Rider] Kyogre"
"195","Parker Allen [US]","Kyogre Zamazenta"
"196","Gabriel Schebel [US]","Miraidon Terapagos"
"197","Kendall Adams [US]","Calyrex [Shadow Rider] Koraidon"
"198","Edward Glover [US]","Calyrex [Shadow Rider] Koraidon"
"199","Jahnoi Wilson [VI]","Koraidon Terapagos"
